"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"F",0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
"I",0.55,NA,NA,0.741,NA,0.1585,0.206,9
"I",0.275,0.2,0.055,0.0925,0.038,0.021,NA,4
"M",0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
"F",0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
"M",0.57,NA,NA,0.9245,0.3445,0.2185,0.295,19
"F",0.615,0.47,0.175,NA,NA,0.343,NA,14
"M",NA,0.5,0.175,1.3385,0.633,0.299,0.349,11
"I",0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
"M",0.41,NA,0.115,0.4405,0.19,0.085,0.135,8
"F",NA,0.38,0.13,0.584,0.224,NA,0.185,13
"F",0.45,0.36,NA,0.447,0.203,0.082,0.13,12
"M",NA,NA,0.16,NA,NA,0.201,0.27,NA
"I",0.44,0.34,0.105,0.344,NA,0.081,0.125,8
"I",0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
"F",0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
"I",0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
"I",0.545,0.42,NA,0.8935,0.4235,0.2195,0.228,8
"F",NA,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
"M",NA,0.45,0.155,1.195,0.5625,0.2565,0.295,10
"F",0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
"I",0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
"M",0.57,NA,0.155,1.1935,0.513,0.21,0.343,NA
"F",0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
"I",0.285,0.21,0.07,0.109,0.044,0.0265,0.033,5
"M",NA,0.595,0.205,2.2205,1.083,0.421,0.63,12
"I",0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7
"M",NA,0.335,NA,0.4625,0.164,0.076,0.15,14
"M",0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
"M",0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
"M",0.575,0.455,NA,1.013,0.4685,0.2085,0.295,11
"I",0.455,0.335,NA,NA,0.175,0.092,0.1185,8
"M",0.465,0.36,NA,0.5265,0.2105,0.1185,0.165,10
"M",0.57,0.455,0.175,1.02,0.4805,NA,0.29,9
"F",0.37,0.275,0.1,0.2225,NA,0.026,0.08,8
"F",NA,0.465,0.155,NA,0.547,0.2665,0.2585,10
"I",NA,0.43,0.145,0.833,0.354,0.144,0.2815,10
"I",0.23,0.18,0.05,NA,0.0215,0.0135,0.02,5
"I",0.48,0.335,0.125,NA,0.246,0.1095,0.145,7
"M",0.635,0.495,0.195,1.172,0.445,NA,NA,11
"F",0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
"M",0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19
"I",0.375,0.3,0.075,0.144,0.059,0.03,0.044,7
"M",0.595,0.485,0.15,NA,0.5305,0.231,0.276,8
"M",0.495,NA,0.12,0.474,0.197,NA,0.1545,NA
"F",0.6,0.48,0.17,1.056,0.4575,0.2435,NA,10
"F",0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
"M",0.555,0.4,0.13,0.7075,0.332,0.1585,NA,7
"M",0.665,0.535,0.155,1.383,NA,0.2565,0.485,14
"M",0.575,NA,0.135,0.9215,0.354,0.209,0.2365,9
"M",0.63,0.505,0.165,NA,NA,0.2755,0.406,14
"F",0.53,NA,0.17,0.828,NA,0.208,0.1505,NA
"F",0.55,0.425,0.145,0.797,0.297,0.15,0.265,9
"I",NA,0.37,0.12,0.514,NA,0.131,NA,13
"I",0.425,0.34,NA,0.371,0.15,0.0865,NA,8
"M",0.32,0.24,0.08,0.18,0.08,NA,0.055,6
"I",0.38,0.285,0.095,0.243,0.0895,0.0665,NA,7
"M",NA,0.475,0.175,NA,0.4635,0.3095,0.2725,10
"M",NA,0.545,0.195,1.7475,0.8215,0.383,0.4705,NA
"M",0.625,NA,0.17,1.437,0.5855,0.293,NA,NA
"F",0.565,NA,0.145,0.8495,0.4215,0.1685,NA,8
"I",0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
"F",NA,0.4,NA,0.772,0.2855,0.1975,0.23,12
"M",0.415,0.325,NA,0.417,0.1535,0.1015,0.144,10
"M",NA,0.455,0.13,0.852,0.41,0.1725,0.225,8
"F",0.545,NA,0.125,0.654,0.2945,0.1315,0.205,NA
"M",0.6,0.475,NA,1.164,0.5045,0.2635,0.335,12
"I",0.525,0.375,0.12,NA,0.3045,0.114,0.19,9
"F",0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
"M",NA,0.3,0.1,0.2465,0.104,0.0475,0.083,11
"I",0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
"F",0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
"I",0.475,0.38,0.12,0.441,NA,NA,0.1505,8
"I",NA,0.26,NA,0.1885,0.0815,0.0335,NA,6
"M",0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
"M",0.65,NA,0.175,NA,0.6345,NA,0.364,NA
"M",0.5,0.38,NA,0.5835,0.2295,0.1265,0.18,12
"M",0.63,NA,0.175,NA,NA,0.247,0.37,NA
"F",0.57,0.445,0.155,0.733,0.282,NA,0.235,NA
"F",NA,0.385,0.125,NA,NA,0.151,0.18,NA
"I",0.47,NA,0.125,0.499,0.21,0.0985,0.155,8
"M",NA,0.585,0.22,1.914,0.9155,0.448,NA,11
"F",0.65,0.51,NA,1.189,0.483,0.278,0.3645,13
"I",NA,0.345,0.115,NA,0.1895,NA,0.111,6
"I",0.43,0.34,0.12,0.3575,0.151,0.0645,NA,9
"F",0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
"I",0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6
"M",0.58,0.45,0.145,NA,0.547,0.1975,NA,8
"I",0.255,NA,0.06,NA,0.04,0.0185,0.025,5
"I",0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8
"I",0.45,NA,0.105,0.362,0.1575,0.0795,0.1095,7
"M",0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13
"M",0.595,0.475,0.17,1.0965,0.419,0.229,0.35,NA
"I",0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
"F",0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
"I",0.36,0.28,0.105,NA,0.0695,0.045,0.08,9
"M",0.52,0.415,0.175,0.753,NA,0.171,0.255,8
"M",0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
"I",0.42,NA,0.11,0.3625,0.174,0.0635,0.105,7
"I",0.41,0.305,0.09,0.3535,NA,0.0745,0.1,7
"I",0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,NA
"F",0.495,0.385,NA,NA,0.3125,0.179,0.175,10
"F",0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9
"F",NA,0.51,NA,1.5675,0.621,0.367,0.46,12
"M",0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
"F",0.58,NA,0.12,0.9935,0.4625,0.2385,0.28,11
"F",0.425,0.335,0.095,0.322,0.1205,NA,0.125,10
"M",NA,0.465,0.15,NA,0.4315,0.2545,0.247,9
"I",0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
"M",0.585,0.46,0.15,1.206,0.581,0.216,0.323,10
"F",0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,NA
"F",NA,NA,0.12,0.803,0.382,NA,0.234,NA
"M",0.465,0.35,0.14,0.5755,0.2015,0.1505,NA,15
"I",NA,0.325,0.11,0.367,0.1595,0.08,0.105,6
"F",0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
"M",0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
"M",0.685,0.545,0.205,NA,0.8145,NA,0.461,9
"I",NA,0.18,0.06,0.073,0.028,0.017,0.0225,5
"F",NA,0.535,0.175,1.361,0.5465,0.2815,NA,10
"F",0.615,0.475,NA,1.004,0.4475,0.193,0.2895,10
"F",0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,NA
"F",0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
"F",0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
"M",0.68,NA,NA,NA,0.618,0.2625,0.325,11
"F",NA,0.495,NA,NA,0.536,0.2115,0.1625,10
"I",0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
"F",0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
"M",0.675,0.525,0.185,NA,0.6935,0.336,0.395,13
"M",0.635,0.525,0.205,NA,0.55,0.3115,NA,20
"F",0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
"I",0.605,NA,NA,0.9995,0.425,NA,0.3,NA
"M",0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,NA
"I",0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
"F",0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
"F",0.72,NA,NA,NA,0.8955,0.405,0.62,13
"M",0.32,NA,0.085,0.17,0.0655,NA,0.049,7
"F",0.575,0.465,0.175,1.099,NA,0.202,0.35,9
"I",0.485,NA,0.125,0.5215,NA,0.118,0.16,8
"M",0.6,NA,0.19,NA,0.403,NA,0.325,14
"M",0.605,0.475,0.19,1.1255,0.59,0.247,0.26,NA
"F",0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
"M",0.275,NA,0.07,0.094,0.0335,0.02,0.0325,NA
"F",0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
"F",0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
"M",0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,NA
"M",0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
"M",NA,0.475,NA,1.0845,0.5005,NA,0.3105,10
"F",0.665,0.5,0.175,1.4355,0.643,0.345,NA,9
"F",0.575,0.435,0.155,0.8975,0.4115,NA,0.23,9
"F",0.625,0.495,0.16,1.1115,NA,NA,0.345,11
"F",0.68,NA,NA,1.741,0.7665,0.3255,0.4685,12
"M",0.575,NA,0.185,1.156,0.5525,0.243,0.295,13
"I",0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
"F",0.58,0.45,0.17,NA,0.4615,0.232,0.248,9
"M",0.7,NA,0.175,1.7585,0.8745,0.3615,0.47,10
"M",0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,14
"I",0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
"M",0.43,NA,0.12,0.397,0.1985,0.0865,NA,7
"M",0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
"M",0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
"I",0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
"M",NA,0.49,0.17,1.1745,0.5255,0.273,0.339,11
"M",0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,NA
"M",0.635,0.495,NA,1.3695,0.657,0.3055,NA,10
"M",0.68,0.545,0.185,1.672,0.7075,NA,NA,11
"F",NA,0.485,0.165,1.0735,0.437,NA,0.33,14
"F",0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
"F",0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
"M",NA,0.43,0.155,0.8035,NA,0.144,0.228,7
"M",0.48,NA,0.145,0.777,NA,0.13,0.17,9
"I",NA,0.31,0.095,0.279,0.1255,0.051,NA,NA
"I",0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
"I",0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
"F",0.62,0.485,NA,1.2155,0.545,0.253,0.345,10
"M",NA,NA,NA,0.681,0.3435,0.142,NA,NA
"M",0.64,0.525,0.185,NA,0.763,0.4205,0.4435,11
"M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
"M",0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,NA
"M",NA,0.365,0.13,0.5305,0.2405,0.127,0.139,8
"F",0.67,0.515,0.17,NA,0.6605,0.3395,0.37,11
"M",0.62,NA,0.165,1.307,0.6355,NA,NA,9
"I",0.42,0.315,0.11,0.4025,0.1855,NA,0.1015,8
"M",0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
"F",0.66,0.535,NA,1.4415,NA,0.2775,0.49,10
"M",0.57,0.445,0.14,1.0635,NA,0.2195,0.24,8
"M",0.4,0.305,0.13,NA,0.096,0.0675,0.105,9
"F",0.5,0.4,NA,0.8085,0.273,0.112,0.295,13
"I",0.51,0.405,0.12,0.61,0.229,0.131,0.235,11
"I",0.335,0.26,NA,0.1965,0.0875,0.041,0.056,NA
"F",0.465,NA,0.11,0.4085,0.165,0.102,NA,8
"I",0.325,NA,0.08,NA,0.0595,0.0355,0.063,7
"F",0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,9
"I",0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6
"I",0.375,0.305,0.115,NA,0.092,0.074,0.09,8
"F",0.73,0.58,0.19,1.7375,NA,NA,0.52,11
"M",0.515,0.385,0.13,0.623,NA,0.1285,0.175,10
"F",0.545,NA,0.15,0.6855,NA,0.145,0.225,NA
"I",0.54,0.415,NA,0.702,0.322,0.167,0.19,10
"F",0.455,0.37,NA,0.4925,0.216,0.1245,0.135,9
"M",0.615,0.46,0.17,NA,0.4815,0.272,0.27,10
"F",NA,0.44,0.135,0.83,0.393,0.1735,0.238,9
"I",0.595,0.43,NA,0.9845,0.4525,0.207,0.2725,8
"F",0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9
"I",0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,NA
"I",0.43,0.325,0.105,NA,NA,0.08,0.098,NA
"F",0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,NA
"F",0.595,0.495,0.235,1.366,0.5065,0.219,0.52,NA
"F",0.66,0.535,0.175,NA,NA,0.3125,0.415,12
"M",0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
"F",0.65,0.59,0.22,1.662,NA,0.378,0.435,11
"M",0.55,0.41,0.15,NA,NA,0.186,0.275,12
"F",0.515,0.415,NA,0.764,0.276,0.196,0.25,13
"M",0.52,NA,NA,0.559,0.254,0.139,0.149,8
"I",0.295,0.225,NA,0.1105,0.0405,0.0245,NA,7
"I",0.43,NA,0,0.428,0.2065,0.086,0.115,8
"M",0.54,0.415,0.13,0.8245,NA,0.226,0.24,13
"I",NA,0.29,0.08,0.2545,NA,0.0565,0.07,6
"I",0.455,0.355,0.08,NA,0.2165,0.0995,0.125,NA
"I",0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
"F",0.64,0.515,0.205,1.5335,NA,0.3345,0.4025,9
"F",0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11
"M",NA,NA,0.19,0.6855,0.293,0.163,NA,10
"M",0.545,NA,0.15,0.8795,0.387,0.15,0.2625,NA
"M",0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,NA
"I",0.24,0.17,NA,0.0545,0.0205,0.016,0.0155,5
"F",0.49,0.37,0.105,NA,0.249,0.1005,NA,7
"M",0.585,0.45,0.18,0.7995,0.336,NA,0.237,8
"M",0.59,0.48,0.16,NA,0.5685,0.2725,0.335,9
"I",0.295,NA,0.085,0.1285,0.0585,0.027,0.0365,5
"I",0.215,0.15,0.055,0.041,0.015,0.009,0.0125,NA
"M",0.645,NA,NA,1.307,0.4335,0.262,0.52,10
"F",0.57,NA,0.16,0.8935,NA,0.2575,0.263,10
"F",0.46,0.375,0.12,0.4915,NA,0.088,0.17,7
"I",0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
"M",0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
"I",0.28,NA,0.07,0.1015,0.041,0.03,0.03,6
"I",0.385,NA,NA,0.228,0.1025,NA,NA,NA
"I",0.545,0.405,NA,0.5945,NA,0.1185,0.185,8
"F",0.73,0.56,0.19,1.9425,NA,NA,0.5655,11
"I",0.53,NA,0.125,0.6235,NA,0.108,0.195,11
"F",0.565,NA,0.21,1.2765,0.501,0.279,0.355,12
"I",NA,0.27,0.1,0.2985,0.1445,0.061,0.082,5
"F",0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
"M",0.645,0.5,0.175,1.286,0.5645,NA,0.386,12
"I",0.275,NA,0.075,0.1105,0.045,0.0285,0.035,6
"F",0.595,NA,0.16,1.2095,0.5225,0.296,0.32,8
"I",0.515,NA,NA,0.5555,0.2,0.1135,0.2235,12
"F",0.625,0.49,NA,1.115,NA,0.277,0.3095,9
"I",0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
"I",0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
"I",NA,NA,0.12,0.438,0.2115,NA,0.12,NA
"M",0.54,0.425,0.12,0.817,0.2945,0.153,0.195,10
"F",0.635,NA,0.155,1.073,0.467,0.1975,0.35,11
"I",0.2,0.155,0.04,0.0435,NA,0.009,NA,4
"F",0.52,0.425,0.165,0.9885,0.396,0.225,0.32,NA
"M",0.66,0.525,0.18,1.478,0.5815,0.381,NA,10
"F",0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
"F",0.665,0.535,NA,1.496,0.5775,0.2815,NA,17
"I",0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10
"F",NA,0.5,0.17,1.5175,0.693,0.326,0.409,11
"F",0.6,0.475,0.15,1.0075,NA,0.221,0.28,15
"I",0.53,0.4,0.125,0.617,0.279,NA,0.19,NA
"M",0.595,0.455,0.145,0.942,0.43,0.182,0.277,11
"F",0.605,0.475,0.145,1.0185,0.4695,NA,0.27,15
"F",0.595,0.43,0.21,1.5245,0.653,NA,NA,11
"M",NA,0.435,0.16,0.906,0.342,NA,0.295,13
"I",0.52,0.415,0.16,0.595,0.2105,NA,0.26,15
"I",0.42,0.325,NA,0.354,0.1625,0.064,0.105,8
"F",0.71,0.565,0.195,1.817,0.785,0.492,0.49,11
"I",0.38,0.3,NA,0.286,NA,0.056,0.09,NA
"I",0.545,0.43,0.15,NA,0.3525,0.158,0.208,10
"M",NA,0.42,0.145,NA,0.3745,0.1545,0.205,NA
"I",0.425,NA,0.11,0.405,0.1695,0.092,0.1065,8
"F",0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
"M",0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
"F",0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9
"F",NA,0.45,NA,NA,NA,0.239,NA,NA
"M",0.605,0.49,0.155,NA,0.503,0.2505,NA,15
"F",0.67,0.52,NA,1.8065,0.758,NA,0.5055,NA
"M",NA,0.355,0.14,NA,0.2125,0.149,0.14,NA
"I",0.4,0.315,0.085,0.2675,0.116,0.0585,NA,6
"M",0.675,0.525,0.175,1.402,NA,0.3205,0.465,16
"M",0.57,0.46,NA,0.9035,0.4075,0.1935,NA,7
"F",0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10
"F",NA,0.255,NA,0.197,NA,0.051,0.06,NA
"F",0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
"I",0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
"I",0.53,0.43,NA,0.7045,0.346,0.1415,0.189,9
"F",0.605,0.475,0.175,1.076,0.463,0.2195,0.335,NA
"M",0.625,NA,NA,1.096,0.5445,NA,0.295,10
"I",0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
"I",0.28,0.2,0.075,0.1225,0.0545,0.0115,NA,5
"M",0.485,NA,0.135,0.617,0.25,0.1345,0.1635,8
"I",0.465,0.36,0.105,NA,0.214,0.116,0.14,15
"I",0.375,0.285,0.09,NA,0.1045,0.062,0.075,NA
"F",0.56,0.46,0.18,0.97,NA,0.196,NA,12
"F",0.42,0.33,NA,0.463,0.186,0.11,0.145,10
"M",0.38,0.285,NA,0.2665,0.115,0.061,0.075,NA
"F",0.565,NA,NA,0.826,0.341,0.2055,0.2475,10
"M",0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,NA
"M",0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
"M",0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
"M",NA,0.37,0.125,0.515,0.2495,0.087,0.159,9
"F",NA,0.495,0.165,1.262,0.507,0.318,0.39,10
"M",0.625,NA,0.155,1.177,0.5055,0.278,0.345,9
"M",NA,0.4,0.13,0.6645,0.258,0.133,0.24,12
"M",0.615,0.48,NA,1.2205,0.4985,0.315,0.33,10
"M",0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
"I",0.315,0.245,NA,0.1435,0.053,0.0475,0.05,8
"I",0.52,0.38,NA,0.5345,0.2375,0.122,0.1535,NA
"I",0.4,0.265,0.1,0.2775,NA,0.0605,0.08,9
"I",0.385,0.3,0.09,NA,NA,0.044,0.0675,5
"M",0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
"M",0.2,0.14,NA,0.035,0.0145,0.008,0.01,NA
"M",0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
"I",0.425,0.34,NA,0.382,0.164,0.096,0.1,6
"I",0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
"I",0.3,0.22,NA,0.1195,0.052,0.0155,0.035,5
"F",0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
"M",0.62,0.46,0.17,1.127,NA,0.2635,0.296,NA
"M",0.35,NA,0.085,0.2145,0.1,0.0465,NA,13
"F",0.61,0.5,0.18,1.438,0.5185,NA,0.3345,9
"M",0.595,NA,0.185,NA,0.526,0.2975,0.314,10
"F",0.635,0.5,0.18,1.312,0.529,NA,0.485,18
"M",0.58,0.455,0.195,1.859,0.945,NA,0.441,NA
"M",0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
"I",0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
